02 Token Inválido
28 Token Inválido
26 Token Inválido
2024-02-11 12:00:10.480910 - 22 Token Inválido
2024-06-01 18:00:05.472752 - \\192.42.103.17\propaganda\publicador_facebook\img\img18.png não foi encontrada
2024-06-01 21:00:04.562819 - \\192.42.103.17\propaganda\publicador_facebook\img\img27.png não foi encontrada
2024-06-02 09:00:10.544498 - \\192.42.103.17\propaganda\publicador_facebook\img\img09.png não foi encontrada
2024-06-02 12:00:07.279931 - \\192.42.103.17\propaganda\publicador_facebook\img\img19.png não foi encontrada
2024-06-02 18:00:05.778996 - \\192.42.103.17\propaganda\publicador_facebook\img\img28.png não foi encontrada
2024-06-02 21:00:05.733904 - \\192.42.103.17\propaganda\publicador_facebook\img\img10.png não foi encontrada
2024-06-03 09:00:09.873296 - \\192.42.103.17\propaganda\publicador_facebook\img\img01.png não foi encontrada
2024-06-03 12:00:04.820643 - \\192.42.103.17\propaganda\publicador_facebook\img\img11.png não foi encontrada
2024-06-03 18:00:05.388148 - \\192.42.103.17\propaganda\publicador_facebook\img\img20.png não foi encontrada
2024-06-03 21:00:04.688762 - \\192.42.103.17\propaganda\publicador_facebook\img\img02.png não foi encontrada
2024-06-04 09:00:11.436809 - \\192.42.103.17\propaganda\publicador_facebook\img\img12.png não foi encontrada
2024-06-04 12:00:04.205239 - \\192.42.103.17\propaganda\publicador_facebook\img\img21.png não foi encontrada
2024-06-04 18:00:05.253963 - \\192.42.103.17\propaganda\publicador_facebook\img\img03.png não foi encontrada
2024-06-04 21:00:05.653810 - \\192.42.103.17\propaganda\publicador_facebook\img\img13.png não foi encontrada
2024-06-05 09:00:09.962617 - \\192.42.103.17\propaganda\publicador_facebook\img\img22.png não foi encontrada
2024-06-05 12:00:05.237850 - \\192.42.103.17\propaganda\publicador_facebook\img\img04.png não foi encontrada
2024-06-05 18:00:03.933147 - \\192.42.103.17\propaganda\publicador_facebook\img\img14.png não foi encontrada
2024-06-05 21:00:03.785422 - \\192.42.103.17\propaganda\publicador_facebook\img\img23.png não foi encontrada
2024-06-06 09:00:09.153543 - \\192.42.103.17\propaganda\publicador_facebook\img\img05.png não foi encontrada
2024-06-06 12:00:04.769869 - \\192.42.103.17\propaganda\publicador_facebook\img\img15.png não foi encontrada
2024-06-06 18:00:05.800280 - \\192.42.103.17\propaganda\publicador_facebook\img\img24.png não foi encontrada
2024-06-06 21:00:05.169803 - \\192.42.103.17\propaganda\publicador_facebook\img\img06.png não foi encontrada
2024-06-07 09:00:10.154705 - \\192.42.103.17\propaganda\publicador_facebook\img\img16.png não foi encontrada
2024-06-07 12:00:12.281541 - \\192.42.103.17\propaganda\publicador_facebook\img\img25.png não foi encontrada
2024-06-07 18:00:04.222099 - \\192.42.103.17\propaganda\publicador_facebook\img\img07.png não foi encontrada
2024-06-07 21:00:05.024001 - \\192.42.103.17\propaganda\publicador_facebook\img\img17.png não foi encontrada
2024-06-08 09:00:09.591428 - \\192.42.103.17\propaganda\publicador_facebook\img\img26.png não foi encontrada
2024-06-08 12:00:05.140131 - \\192.42.103.17\propaganda\publicador_facebook\img\img08.png não foi encontrada
2024-06-08 18:00:04.341840 - \\192.42.103.17\propaganda\publicador_facebook\img\img18.png não foi encontrada
2024-06-08 21:00:04.356403 - \\192.42.103.17\propaganda\publicador_facebook\img\img27.png não foi encontrada
